train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_auc
0.05533729787539998,0.7224770642201835,0.6921119592875318,0.05512756418164184,0.7560975609756098,0.5,0.7306034482758621
0.036344484690952736,0.8463302752293578,0.8337468982630273,0.04444381885412263,0.8292682926829268,0.7083333333333334,0.875
0.03487154920030078,0.8669724770642202,0.8625592417061612,0.038088800703606956,0.8292682926829268,0.65,0.8929597701149425
0.024849195887736226,0.908256880733945,0.908256880733945,0.05607975169834567,0.7560975609756098,0.6666666666666666,0.8850574712643678
0.023285342414581446,0.9059633027522935,0.9078651685393259,0.06284046045890669,0.7682926829268293,0.6885245901639344,0.9044540229885057
0.022703564307148302,0.9105504587155964,0.9119638826185101,0.043371135823246906,0.8536585365853658,0.7777777777777778,0.9202586206896552
0.02464170526678956,0.8990825688073395,0.9071729957805907,0.03967236618443233,0.8536585365853658,0.75,0.8994252873563218
0.013433076278947362,0.963302752293578,0.9665271966527197,0.035045964507068074,0.8658536585365854,0.7555555555555555,0.923132183908046
0.01616593428092812,0.9380733944954128,0.9373549883990719,0.037828257534562086,0.8780487804878049,0.8,0.9382183908045977
0.01371045547340988,0.9495412844036697,0.9438775510204082,0.032633004937230085,0.8902439024390244,0.8085106382978723,0.9518678160919539
0.018399565335397328,0.9426605504587156,0.9427917620137299,0.03036755264350554,0.8902439024390244,0.8163265306122449,0.9461206896551724
0.014812835466560967,0.9426605504587156,0.9363867684478372,0.030294584155809587,0.8780487804878049,0.7916666666666666,0.9418103448275862
0.010446454394061904,0.9701834862385321,0.9695550351288056,0.040916520647886326,0.8780487804878049,0.7727272727272727,0.8994252873563218
0.010394911110879632,0.9655963302752294,0.9676025917926566,0.04380012140041444,0.8658536585365854,0.7441860465116279,0.8922413793103449
0.011640048483301193,0.9610091743119266,0.9598108747044918,0.043482655250444646,0.8780487804878049,0.7916666666666666,0.9094827586206896
